index,config,accuracy,total_time,total_cost,details_csv_filepath
3,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG: 'RAG'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.6,310.2168254852295,5.695578599999999,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_RAG_MAX_INNER_PRODUCT_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
1,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG: 'RAG'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.6,326.7576241493225,5.8707785999999995,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_RAG_EUCLIDEAN_DISTANCE_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
11,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA: 'CoALA'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.6,352.80605816841125,6.1255409,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_CoALA_MAX_INNER_PRODUCT_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
9,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA: 'CoALA'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.6,364.3328227996826,6.276554299999999,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_CoALA_EUCLIDEAN_DISTANCE_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
15,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA_AS_TOOL: 'CoALA_AS_TOOL'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.55,251.36483192443848,1.818,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_CoALA_AS_TOOL_MAX_INNER_PRODUCT_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
5,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG_AS_TOOL: 'RAG_AS_TOOL'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.55,266.2929759025574,1.842,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_RAG_AS_TOOL_EUCLIDEAN_DISTANCE_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
0,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.NONE: 'NONE'>, 'distance_metric': None, 'num_search_results': None, 'similarity_search_score_threshold': None, 'text_chunk_size': None, 'use_weighted_average_of_text_chunks': None}",0.55,537.5191555023193,8.004480000000001,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_NO_RAG.csv
4,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG: 'RAG'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.55,348.9768102169037,13.1349186,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_RAG_MAX_INNER_PRODUCT_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
2,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG: 'RAG'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.55,610.1846883296967,27.420738600000004,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_RAG_EUCLIDEAN_DISTANCE_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
12,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA: 'CoALA'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.55,756.1651146411896,30.8082723,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_CoALA_MAX_INNER_PRODUCT_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
6,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG_AS_TOOL: 'RAG_AS_TOOL'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.5,279.8008031845093,1.8976199999999999,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_RAG_AS_TOOL_EUCLIDEAN_DISTANCE_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
7,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG_AS_TOOL: 'RAG_AS_TOOL'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.5,266.01329040527344,1.9036199999999999,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_RAG_AS_TOOL_MAX_INNER_PRODUCT_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
16,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA_AS_TOOL: 'CoALA_AS_TOOL'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.5,258.15075302124023,1.99464,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_CoALA_AS_TOOL_MAX_INNER_PRODUCT_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
10,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA: 'CoALA'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.5,1414.011001586914,70.64161399999999,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_CoALA_EUCLIDEAN_DISTANCE_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
14,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA_AS_TOOL: 'CoALA_AS_TOOL'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.45,258.54933047294617,1.91142,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_CoALA_AS_TOOL_EUCLIDEAN_DISTANCE_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
8,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG_AS_TOOL: 'RAG_AS_TOOL'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.4,285.55874252319336,1.9330199999999997,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_RAG_AS_TOOL_MAX_INNER_PRODUCT_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
13,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA_AS_TOOL: 'CoALA_AS_TOOL'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.4,264.9457046985626,1.96902,results/details/pandas_test_cases_v2_run_003_gpt-4-32k_CoALA_AS_TOOL_EUCLIDEAN_DISTANCE_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
